targetAudience;seriesDisplayName;queryStringValue;variationTargetAudience;
Keyword Buick Lacrosse;Avalon;Avalon&competitor=Buick_Lacrosse;compare=false;
Keyword Buick Lucerne;Avalon;Avalon&competitor=Buick_Lucerne;compare=true;
Keyword Buick Regal;Avalon;Avalon&competitor=Buick_Regal;compare=false;
Keyword Cadillac ATS;Avalon;Avalon&competitor=Cadillac_ATS;compare=true;
Keyword Cadillac XLR;Avalon;Avalon&competitor=Cadillac_XLR;compare=true;
Keyword Cadillac CTS;Avalon;Avalon&competitor=Cadillac_CTS;compare=false;
Keyword Cadillac DTS;Avalon;Avalon&competitor=Cadillac_DTS;compare=true;
Keyword Cadillac STS;Avalon;Avalon&competitor=Cadillac_STS;compare=true;
Keyword Cadillac XTS;Avalon;Avalon&competitor=Cadillac_XTS;compare=true;
Keyword Chevrolet Corvette;Avalon;Avalon&competitor=Chevrolet_Corvette;compare=true;
Keyword Chevrolet Impala;Avalon;Avalon&competitor=Chevrolet_Impala;compare=false;
Keyword Dodge Viper;Avalon;Avalon&competitor=Dodge_Viper;compare=Id_is_invalid;
Keyword Ferrari FF;Avalon;Avalon&competitor=Ferrari_FF;compare=true;
Keyword Ferrari California;Avalon;Avalon&competitor=Ferrari_California;compare=Id_is_invalid;
Keyword Ferrari 612 Scaglietti;Avalon;Avalon&competitor=Ferrari_612_Scaglietti;compare=false;
Keyword Chevrolet  Taurus;Avalon;Avalon&competitor=Chevrolet__Taurus;compare=Id_is_invalid;
Keyword Hyundai Azera;Avalon;Avalon&competitor=Hyundai_Azera;compare=true;
Keyword Hyundai Equus;Avalon;Avalon&competitor=Hyundai_Equus;compare=true;
Keyword Hyundai Genesis;Avalon;Avalon&competitor=Hyundai_Genesis;compare=false;
Keyword Infiniti M35;Avalon;Avalon&competitor=Infiniti_M35;compare=true;
Keyword Infiniti M45;Avalon;Avalon&competitor=Infiniti_M45;compare=true;
Keyword Infiniti M37;Avalon;Avalon&competitor=Infiniti_M37;compare=true;
Keyword Infiniti M56;Avalon;Avalon&competitor=Infiniti_M56;compare=true;
Keyword Jaguar XF;Avalon;Avalon&competitor=Jaguar_XF;compare=Id_is_invalid;
Keyword Jaguar XK;Avalon;Avalon&competitor=Jaguar_XK;compare=true;
Keyword Jaguar XJ;Avalon;Avalon&competitor=Jaguar_XJ;compare=true;
Keyword Lamborghini Gallardo;Avalon;Avalon&competitor=Lamborghini_Gallardo;compare=true;
Keyword Lamborghini Murcielago;Avalon;Avalon&competitor=Lamborghini_Murcielago;compare=true;
Keyword Lexus ES_MODELS;Avalon;Avalon&competitor=Lexus_ES_MODELS;compare=true;
Keyword Lexus ES350;Avalon;Avalon&competitor=Lexus_ES350;compare=true;
Keyword Lexus GS350;Avalon;Avalon&competitor=Lexus_GS350;compare=true;
Keyword Lexus GS460;Avalon;Avalon&competitor=Lexus_GS460;compare=true;
Keyword Lexus IS250;Avalon;Avalon&competitor=Lexus_IS250;compare=true;
Keyword Lexus IS250C;Avalon;Avalon&competitor=Lexus_IS250C;compare=true;
Keyword Lexus IS350;Avalon;Avalon&competitor=Lexus_IS350;compare=true;
Keyword Lexus IS350C;Avalon;Avalon&competitor=Lexus_IS350C;compare=true;
Keyword Lexus ISF;Avalon;Avalon&competitor=Lexus_ISF;compare=true;
Keyword Lexus LS460;Avalon;Avalon&competitor=Lexus_LS460;compare=true;
Keyword Lexus SC430;Avalon;Avalon&competitor=Lexus_SC430;compare=true;
Keyword Lexus CT200H;Avalon;Avalon&competitor=Lexus_CT200H;compare=true;
Keyword Lexus LFA;Avalon;Avalon&competitor=Lexus_LFA;compare=true;
Keyword Lincoln MKS;Avalon;Avalon&competitor=Lincoln_MKS;compare=true;
Keyword Lincoln MKZ;Avalon;Avalon&competitor=Lincoln_MKZ;compare=true;
Keyword Lincoln Towncar;Avalon;Avalon&competitor=Lincoln_Towncar;compare=false;
Keyword Maserati Granturismo;Avalon;Avalon&competitor=Maserati_Granturismo;compare=true;
Keyword Maserati QP;Avalon;Avalon&competitor=Maserati_QP;compare=Id_is_invalid;
Keyword Nissan GT-R;Avalon;Avalon&competitor=Nissan_GT_R;compare=false;
Keyword Nissan Maxima;Avalon;Avalon&competitor=Nissan_Maxima;compare=false;
Keyword Porsche 911;Avalon;Avalon&competitor=Porsche_911;compare=true;
Keyword Porsche Boxster;Avalon;Avalon&competitor=Porsche_Boxster;compare=false;
Keyword Porsche Cayman;Avalon;Avalon&competitor=Porsche_Cayman;compare=true;
Keyword Porsche Panamera;Avalon;Avalon&competitor=Porsche_Panamera;compare=true;
Keyword Tesla Model S;Avalon;Avalon&competitor=Tesla_Model_S;compare=false;
Keyword Volkswagen CC;Avalon;Avalon&competitor=Volkswagen_CC;compare=false;
Keyword Volvo C70;Avalon;Avalon&competitor=Volvo_C70;compare=false;
Keyword Volvo S80;Avalon;Avalon&competitor=Volvo_S80;compare=false;
Keyword Volvo V70;Avalon;Avalon&competitor=Volvo_V70;compare=false;
Keyword Volvo XC;Avalon;Avalon&competitor=Volvo_XC;compare=false;
Keyword Volvo S60;Avalon;Avalon&competitor=Volvo_S60;compare=false;
Keyword Volvo xc70;Avalon;Avalon&competitor=Volvo_xc70;compare=false;
Keyword Maserati Quattroporte;Avalon;Avalon&competitor=Maserati_Quattroporte;compare=true;
Keyword BMW 1Series M;Avalon;Avalon&competitor=BMW_1Series_M;compare=Id_is_invalid;
Keyword BMW i8;Avalon;Avalon&competitor=BMW_i8;compare=true;
Keyword Ford Taurus;Avalon;Avalon&competitor=Ford_Taurus;compare=false;
Keyword Audi_RS5;Avalon;Avalon&competitor=Audi_RS5;compare=false;
Keyword BMW_6Series;Avalon;Avalon&competitor=BMW_6Series;compare=false;
Keyword BMW_7Series;Avalon;Avalon&competitor=BMW_7Series;compare=false;
Keyword BMW_X6M;Avalon;Avalon&competitor=BMW_X6M;compare=false;
Keyword BMW_X5M;Avalon;Avalon&competitor=BMW_X5M;compare=false;
Keyword Chevrolet Camaro;Avalon;Avalon&competitor=Chevrolet_Camaro;compare=false;
Keyword Infiniti FX;Avalon;Avalon&competitor=Infiniti_FX;compare=true;
Keyword Infiniti G;Avalon;Avalon&competitor=Infiniti_G;compare=true;
Keyword Infiniti JX;Avalon;Avalon&competitor=Infiniti_JX;compare=true;
Keyword Infiniti M;Avalon;Avalon&competitor=Infiniti_M;compare=true;
Keyword Infiniti QX;Avalon;Avalon&competitor=Infiniti_QX;compare=true;
Keyword Lexus GX;Avalon;Avalon&competitor=Lexus_GX;compare=false;
Keyword Lexus HS;Avalon;Avalon&competitor=Lexus_HS;compare=true;
Keyword Lexus LS;Avalon;Avalon&competitor=Lexus_LS;compare=true;
Keyword Mercedes-Benz C-Class;Avalon;Avalon&competitor=Mercedes_Benz_C_Class;compare=true;
Keyword Mercedes-Benz CL-Class;Avalon;Avalon&competitor=Mercedes_Benz_CL_Class;compare=true;
Keyword Mercedes-Benz CLA-Class;Avalon;Avalon&competitor=Mercedes_Benz_CLA_Class;compare=true;
Keyword Mercedes-Benz CLS-Class;Avalon;Avalon&competitor=Mercedes_Benz_CLS_Class;compare=false;
Keyword Mercedes-Benz R-Class;Avalon;Avalon&competitor=Mercedes_Benz_R_Class;compare=false;
Keyword Mercedes-Benz S-Class;Avalon;Avalon&competitor=Mercedes_Benz_S_Class;compare=true;
Keyword Mercedes-Benz SL-Class;Avalon;Avalon&competitor=Mercedes_Benz_SL_Class;compare=false;
Keyword Mercedes-Benz SLK-Class;Avalon;Avalon&competitor=Mercedes_Benz_SLK_Class;compare=false;
Keyword Mercedes-Benz SLS-Class;Avalon;Avalon&competitor=Mercedes_Benz_SLS_Class;compare=true;
NE ATC Chevrolet Impala;Avalon;avalon&competitor=Chevrolet_Impala;compare=false;
NE ATC Chevrolet SS;Avalon;avalon&competitor=Chevrolet_SS;compare=Id_is_invalid;
NE ATC Ford Taurus;Avalon;avalon&competitor=Ford_Taurus;compare=false;
NE ATC Hyundai Equus;Avalon;avalon&competitor=Hyundai_Equus;compare=true;
NE ATC Hyundai Genesis;Avalon;avalon&competitor=Hyundai_Genesis;compare=false;
NE ATC Hyundai Genesis Coupe;Avalon;avalon&competitor=Hyundai_Genesis_Coupe;compare=false;
NE ATC Kia K900;Avalon;avalon&competitor=Kia_K900;compare=true;
NE ATC Nissan Maxima;Avalon;avalon&competitor=Nissan_Maxima;compare=false;
NE KBB Chevrolet Impala;Avalon;avalon&competitor=Chevrolet_Impala;compare=false;
NE KBB Chevrolet SS;Avalon;avalon&competitor=Chevrolet_SS;compare=Id_is_invalid;
NE KBB Ford Taurus;Avalon;avalon&competitor=Ford_Taurus;compare=false;
NE KBB Hyundai Equus;Avalon;avalon&competitor=Hyundai_Equus;compare=true;
NE KBB Hyundai Genesis;Avalon;avalon&competitor=Hyundai_Genesis;compare=false;
NE KBB Hyundai Genesis Coupe;Avalon;avalon&competitor=Hyundai_Genesis_Coupe;compare=false;
NE KBB Kia K900;Avalon;avalon&competitor=Kia_K900;compare=true;
NE KBB Nissan Maxima;Avalon;avalon&competitor=Nissan_Maxima;compare=false;
NE Cars.com Chevy Impala;Avalon;avalon&competitor=Chevrolet_Impala;compare=false;
NE Cars.com Chevy Impala Limited;Avalon;avalon&competitor=Chevrolet_Impala;compare=false;
NE Cars.com Chevrolet SS;Avalon;avalon&competitor=Chevrolet_SS;compare=Id_is_invalid;
NE Cars.com Ford Taurus;Avalon;avalon&competitor=Ford_Taurus;compare=false;
NE Cars.com Nissan Maxima;Avalon;avalon&competitor=Nissan_Maxima;compare=false;
NE Edmunds Chevrolet Impala;Avalon;avalon&competitor=Chevrolet_Impala;compare=false;
NE Edmunds Chevrolet Impala Limited;Avalon;avalon&competitor=Chevrolet_Impala_Limited;compare=false;
NE Edmunds Chevrolet SS;Avalon;avalon&competitor=Chevrolet_SS;compare=Id_is_invalid;
NE Edmunds Ford Fusion Energi;Avalon;avalon&competitor=Ford_Fusion_Energi;compare=false;
NE Edmunds Ford Taurus;Avalon;avalon&competitor=Ford_Taurus;compare=false;
NE Edmunds Hyundai Equus;Avalon;avalon&competitor=Hyundai_Equus;compare=true;
NE Edmunds Hyundai Genesis;Avalon;avalon&competitor=Hyundai_Genesis;compare=false;
NE Edmunds Hyundai Genesis Coupe;Avalon;avalon&competitor=Hyundai_Genesis_Coupe;compare=false;
NE Edmunds Kia K900;Avalon;avalon&competitor=Kia_K900;compare=true;
NE Edmunds Nissan Maxima;Avalon;avalon&competitor=Nissan_Maxima;compare=false;
Keyword BMW ActiveHybrid 3;Avalon Hybrid;AvalonHybrid&competitor=BMW_ActiveHybrid_3;compare=true;
Keyword Lexus ES300H;Avalon Hybrid;AvalonHybrid&competitor=Lexus_ES300H;compare=true;
Keyword Lexus GS450H;Avalon Hybrid;AvalonHybrid&competitor=Lexus_GS450H;compare=true;
Keyword Lexus HS250H;Avalon Hybrid;AvalonHybrid&competitor=Lexus_HS250H;compare=true;
Keyword Lexus LS600H;Avalon Hybrid;AvalonHybrid&competitor=Lexus_LS600H;compare=true;
Keyword Buick Verano;Camry;Camry&competitor=Buick_Verano;compare=false;
Keyword Chevrolet Malibu;Camry;Camry&competitor=Chevrolet_Malibu;compare=false;
Keyword Chrysler 200;Camry;Camry&competitor=Chrysler_200;compare=true;
Keyword Dodge Avenger;Camry;Camry&competitor=Dodge_Avenger;compare=false;
Keyword Dodge Charger;Camry;Camry&competitor=Dodge_Charger;compare=false;
Keyword Ford Fusion;Camry;Camry&competitor=Ford_Fusion;compare=true;
Keyword Honda Accord;Camry;Camry&competitor=Honda_Accord;compare=false;
Keyword Hyundai Sonata;Camry;Camry&competitor=Hyundai_Sonata;compare=false;
Keyword Kia Optima;Camry;Camry&competitor=Kia_Optima;compare=false;
Keyword Mazda 6;Camry;Camry&competitor=Mazda_6;compare=true;
Keyword Mitsubishi Galant;Camry;Camry&competitor=Mitsubishi_Galant;compare=false;
Keyword Nissan Altima;Camry;Camry&competitor=Nissan_Altima;compare=true;
Keyword Subaru Legacy;Camry;Camry&competitor=Subaru_Legacy;compare=true;
Keyword Volkswagen Passat;Camry;Camry&competitor=Volkswagen_Passat;compare=true;
Keyword Volvo S40;Camry;Camry&competitor=Volvo_S40;compare=false;
Keyword Volvo V50;Camry;Camry&competitor=Volvo_V50;compare=false;
Keyword Chrysler Sebring;Camry;Camry&competitor=Chrysler_Sebring;compare=true;
Keyword Chrysler Town & Country;Camry;Camry&competitor=Chrysler_Town_&_Country;compare=true;
Keyword Volkswagen Eos;Camry;Camry&competitor=Volkswagen_Eos;compare=true;
NE ATC Chevrolet Malibu;Camry;camry&competitor=Chevrolet_Malibu;compare=false;
NE ATC Ford Fusion;Camry;camry&competitor=Ford_Fusion;compare=true;
NE ATC Honda Accord;Camry;camry&competitor=Honda_Accord;compare=false;
NE ATC Hyundai Azera;Camry;camry&competitor=Hyundai_Azera;compare=true;
NE ATC Hyundai Sonata;Camry;camry&competitor=Hyundai_Sonata;compare=false;
NE ATC Kia Cadenza;Camry;camry&competitor=Kia_Cadenza;compare=true;
NE ATC Kia Optima;Camry;camry&competitor=Kia_Optima;compare=false;
NE ATC Nissan Altima;Camry;camry&competitor=Nissan_Altima;compare=true;
NE ATC Subaru Legacy;Camry;camry&competitor=Subaru_Legacy;compare=true;
NE KBB Chevrolet Malibu;Camry;camry&competitor=Chevrolet_Malibu;compare=false;
NE KBB Ford Fusion;Camry;camry&competitor=Ford_Fusion;compare=true;
NE KBB Honda Accord;Camry;camry&competitor=Honda_Accord;compare=false;
NE KBB Hyundai Azera;Camry;camry&competitor=Hyundai_Azera;compare=true;
NE KBB Hyundai Sonata;Camry;camry&competitor=Hyundai_Sonata;compare=false;
NE KBB Kia Cadenza;Camry;camry&competitor=Kia_Cadenza;compare=true;
NE KBB Kia Optima;Camry;camry&competitor=Kia_Optima;compare=false;
NE KBB Nissan Altima;Camry;camry&competitor=Nissan_Altima;compare=true;
NE KBB Subaru Legacy;Camry;camry&competitor=Subaru_Legacy;compare=true;
NE Cars.com Chevy Malibu;Camry;camry&competitor=Chevrolet_Malibu;compare=false;
NE Cars.com Ford Fusion;Camry;camry&competitor=Ford_Fusion;compare=true;
NE Cars.com Ford Fusion Hybrid;Camry;camry&competitor=Ford_Fusion_Hybrid;compare=true;
NE Cars.com Honda Accord;Camry;camry&competitor=Honda_Accord;compare=false;
NE Cars.com Hyundai Azera;Camry;camry&competitor=Hyundai_Azera;compare=true;
NE Cars.com Hyundai Sonata;Camry;camry&competitor=Hyundai_Sonata;compare=false;
NE Cars.com Hyundai Sonata Hybrid;Camry;camry&competitor=Hyundai_Sonata_Hybrid;compare=true;
NE Cars.com Kia Cadenza;Camry;camry&competitor=Kia_Cadenza;compare=true;
NE Cars.com Kia Optima;Camry;camry&competitor=Kia_Optima;compare=false;
NE Cars.com Nissan Altima;Camry;camry&competitor=Nissan_Altima;compare=true;
NE Cars.com Subaru Legacy;Camry;camry&competitor=Subaru_Legacy;compare=true;
NE Edmunds Chevrolet Malibu;Camry;camry&competitor=Chevrolet_Malibu;compare=false;
NE Edmunds Ford Fusion;Camry;camry&competitor=Ford_Fusion;compare=true;
NE Edmunds Honda Accord;Camry;camry&competitor=Honda_Accord;compare=false;
NE Edmunds Hyundai Azera;Camry;camry&competitor=Hyundai_Azera;compare=true;
NE Edmunds Hyundai Sonata;Camry;camry&competitor=Hyundai_Sonata;compare=false;
NE Edmunds Kia Cadenza;Camry;camry&competitor=Kia_Cadenza;compare=true;
NE Edmunds Kia Optima;Camry;camry&competitor=Kia_Optima;compare=false;
NE Edmunds Nissan Altima;Camry;camry&competitor=Nissan_Altima;compare=true;
NE Edmunds Subaru Legacy;Camry;camry&competitor=Subaru_Legacy;compare=true;
Keyword Kia Optima Hybrid;Camry Hybrid;CamryHybrid&competitor=Kia_Optima_Hybrid;compare=true;
Keyword Ford Fusion Hybrid;Camry Hybrid;CamryHybrid&competitor=Ford_Fusion_Hybrid;compare=true;
Keyword Ford Fusion Energi;Camry Hybrid;CamryHybrid&competitor=Ford_Fusion_Energi;compare=false;
Keyword Ford Focus Electric;Camry Hybrid;CamryHybrid&competitor=Ford_Focus_Electric;compare=true;
Keyword Nissan Altima Hybrid;Camry Hybrid;CamryHybrid&competitor=Nissan_Altima_Hybrid;compare=true;
Keyword Honda Accord Hybrid;Camry Hybrid;CamryHybrid&competitor=Honda_Accord_Hybrid;compare=false;
NE Edmunds Ford Fusion Hybrid;Camry Hybrid;camryhybrid&competitor=Ford_Fusion_Hybrid;compare=true;
NE Edmunds Honda Accord Hybrid;Camry Hybrid;camryhybrid&competitor=Honda_Accord_Hybrid;compare=false;
NE Edmunds Hyundai Sonata Hybrid;Camry Hybrid;camryhybrid&competitor=Hyundai_Sonata_Hybrid;compare=true;
Keyword Chevrolet Aveo;Corolla;Corolla&competitor=Chevrolet_Aveo;compare=Id_is_invalid;
Keyword Chevrolet Cobalt;Corolla;Corolla&competitor=Chevrolet_Cobalt;compare=Id_is_invalid;
Keyword Chevrolet HHR;Corolla;Corolla&competitor=Chevrolet_HHR;compare=Id_is_invalid;
Keyword Chevrolet Cruze;Corolla;Corolla&competitor=Chevrolet_Cruze;compare=Id_is_invalid;
Keyword Chevrolet Sonic;Corolla;Corolla&competitor=Chevrolet_Sonic;compare=false;
Keyword Chevrolet Spark;Corolla;Corolla&competitor=Chevrolet_Spark;compare=true;
Keyword Chrysler PT Cruiser;Corolla;Corolla&competitor=Chrysler_PT_Cruiser;compare=true;
Keyword Dodge Dart;Corolla;Corolla&competitor=Dodge_Dart;compare=true;
Keyword Fiat 500;Corolla;Corolla&competitor=Fiat_500;compare=false;
Keyword Ford Focus;Corolla;Corolla&competitor=Ford_Focus;compare=true;
Keyword Ford Fiesta;Corolla;Corolla&competitor=Ford_Fiesta;compare=true;
Keyword Honda Civic;Corolla;Corolla&competitor=Honda_Civic;compare=false;
Keyword Honda Fit;Corolla;Corolla&competitor=Honda_Fit;compare=false;
Keyword Hyundai Accent;Corolla;Corolla&competitor=Hyundai_Accent;compare=true;
Keyword Hyundai Elantra;Corolla;Corolla&competitor=Hyundai_Elantra;compare=true;
Keyword Hyundai Elantra Coupe;Corolla;Corolla&competitor=Hyundai_Elantra_Coupe;compare=true;
Keyword Hyundai Elantra Touring;Corolla;Corolla&competitor=Hyundai_Elantra_Touring;compare=true;
Keyword Kia Forte;Corolla;Corolla&competitor=Kia_Forte;compare=false;
Keyword Kia Rio;Corolla;Corolla&competitor=Kia_Rio;compare=true;
Keyword Kia Soul;Corolla;Corolla&competitor=Kia_Soul;compare=false;
Keyword Mazda 3;Corolla;Corolla&competitor=Mazda_3;compare=false;
